qa_id,source,path,category,question,A,B,C,D,answer,subject_id
training_0001,HAU,HAU/user1/1-1-1,single,Which action is performed in this video?,Jumping jacks,Checking the time,Stirring,Brushing teeth,A,user1
training_0002,HAU,HAU/user1/1-1-2,single,Which action is performed in this video?,Grabbing utensils,Lying down,Jumping jacks,Pouring,C,user1
training_0003,HAU,HAU/user1/1-1-3,single,Which action is performed in this video?,Typing on a keyboard,Combing hair,Brushing teeth,Checking body temperature,B,user1
training_0004,HAU,HAU/user1/1-2-1,single,Which action is performed in this video?,Running,Peeling fruit,Washing face,Playing games,B,user1
training_0005,HAU,HAU/user1/1-2-2,single,Which action is performed in this video?,Folding clothes,Grabbing utensils,Playing games,Checking the time,B,user1
training_0006,HAU,HAU/user1/1-2-3,single,Which action is performed in this video?,Eating,Sitting down,Taking a selfie,Sweeping,A,user1
training_0007,HAU,HAU/user1/2-1-1,single,Which action is performed in this video?,Mopping,Lying down,Peeling fruit,Getting dressed,C,user1
training_0008,HAU,HAU/user1/2-1-2,single,Which action is performed in this video?,Combing hair,Writing,Peeling fruit,Wiping hands,C,user1
training_0009,HAU,HAU/user1/2-1-3,single,Which action is performed in this video?,Sweeping,Lying down,Taking a selfie,Grabbing utensils,D,user1
training_0010,HAU,HAU/user1/2-2-1,single,Which action is performed in this video?,Playing games,Watching TV,Walking,Mopping,C,user1
training_0011,HAU,HAU/user1/2-2-2,single,Which action is performed in this video?,Massaging oneself,Stirring,Wiping surface,Walking,D,user1
training_0012,HAU,HAU/user1/2-2-3,single,Which action is performed in this video?,Walking,Washing dishes,Undressing,Turning a page,A,user1
training_0013,HAU,HAU/user1/3-1-1,single,Which action is performed in this video?,Wiping hands,Eating,Using a phone,Calling,B,user1
training_0014,HAU,HAU/user1/3-1-2,single,Which action is performed in this video?,Turning a page,Eating,Squats,Wiping surface,B,user1
training_0015,HAU,HAU/user1/3-1-3,single,Which action is performed in this video?,Lying down,Eating,Checking the time,Lunges,B,user1
training_0016,HAU,HAU/user1/3-2-1,single,Which action is performed in this video?,Brushing teeth,Checking body temperature,Walking,Jumping jacks,C,user1
training_0017,HAU,HAU/user1/3-2-2,single,Which action is performed in this video?,Watching TV,Combing hair,Sweeping,Checking the time,D,user1
training_0018,HAU,HAU/user1/3-2-3,single,Which action is performed in this video?,Taking a selfie,Squats,Checking body temperature,Grabbing utensils,B,user1
training_0019,HAU,HAU/user1/4-1-1,single,Which action is performed in this video?,Using a phone,Mopping,Lunges,Drinking,D,user1
training_0020,HAU,HAU/user1/4-1-2,single,Which action is performed in this video?,Calling,Playing games,Peeling fruit,Sweeping,C,user1
training_0021,HAU,HAU/user1/4-1-3,single,Which action is performed in this video?,Pouring,Lying down,Writing,Washing face,A,user1
training_0022,HAU,HAU/user1/5-1-1,single,Which action is performed in this video?,Typing on a keyboard,Taking a selfie,Massaging oneself,Checking body temperature,B,user1
training_0023,HAU,HAU/user1/5-1-2,single,Which action is performed in this video?,Listening to the music with headphones,Walking,Combing hair,Checking body temperature,A,user1
training_0024,HAU,HAU/user1/5-1-3,single,Which action is performed in this video?,Jumping jacks,Taking a selfie,Wiping hands,Using a phone,B,user1
training_0025,HAU,HAU/user1/6-1-1,single,Which action is performed in this video?,Eating,Folding clothes,Jumping jacks,Turning a page,A,user1
training_0026,HAU,HAU/user1/6-1-2,single,Which action is performed in this video?,Watching TV,Standing up,Sitting down,Eating,D,user1
training_0027,HAU,HAU/user1/6-1-3,single,Which action is performed in this video?,Checking the time,Walking,Reading,Wiping hands,B,user1
training_0028,HAU,HAU/user1/6-2-1,single,Which action is performed in this video?,Washing face,Wiping hands,Turning a page,Wiping surface,C,user1
training_0029,HAU,HAU/user1/6-2-2,single,Which action is performed in this video?,Playing games,Checking body temperature,Standing up,Wiping hands,C,user1
training_0030,HAU,HAU/user1/6-2-3,single,Which action is performed in this video?,Folding clothes,Grabbing utensils,Running,Sweeping,D,user1
training_0031,HAU,HAU/user1/7-1-1,single,Which action is performed in this video?,Eating,Taking a selfie,Standing up,Sitting down,D,user1
training_0032,HAU,HAU/user1/7-1-2,single,Which action is performed in this video?,Undressing,Sitting down,Eating,Using a phone,B,user1
training_0033,HAU,HAU/user1/7-1-3,single,Which action is performed in this video?,Lunges,Mopping,Taking medicine,Checking body temperature,C,user1
training_0113,HAU,HAU/user4/1-1-1,single,Which action is performed in this video?,Sitting down,Brushing teeth,Walking,Washing face,D,user4
training_0114,HAU,HAU/user4/1-1-2,single,Which action is performed in this video?,Drinking,Checking the time,Washing face,Lying down,C,user4
training_0115,HAU,HAU/user4/1-1-3,single,Which action is performed in this video?,Folding clothes,Pouring,Wiping hands,Running,C,user4
training_0116,HAU,HAU/user4/1-2-1,single,Which action is performed in this video?,Walking,Undressing,Folding clothes,Watching TV,A,user4
training_0117,HAU,HAU/user4/1-2-2,single,Which action is performed in this video?,Taking a selfie,Watching TV,Standing up,Peeling fruit,D,user4
training_0118,HAU,HAU/user4/1-2-3,single,Which action is performed in this video?,Jumping jacks,Grabbing utensils,Combing hair,Using a phone,B,user4
training_0119,HAU,HAU/user4/2-1-1,single,Which action is performed in this video?,Brushing teeth,Combing hair,Eating,Taking a selfie,C,user4
training_0120,HAU,HAU/user4/2-1-2,single,Which action is performed in this video?,Drinking,Checking body temperature,Jumping jacks,Typing on a keyboard,A,user4
training_0121,HAU,HAU/user4/2-1-3,single,Which action is performed in this video?,Listening to the music with headphones,Sweeping,Standing up,Using a phone,C,user4
training_0122,HAU,HAU/user4/2-2-1,single,Which action is performed in this video?,Listening to the music with headphones,Mopping,Checking the time,Jumping jacks,B,user4
training_0123,HAU,HAU/user4/2-2-2,single,Which action is performed in this video?,Turning a page,Writing,Eating,Sweeping,D,user4
training_0124,HAU,HAU/user4/2-2-3,single,Which action is performed in this video?,Lunges,Standing up,Mopping,Taking medicine,C,user4
training_0125,HAU,HAU/user4/3-2-1,single,Which action is performed in this video?,Undressing,Taking medicine,Jumping jacks,Sitting down,C,user4
training_0126,HAU,HAU/user4/3-2-2,single,Which action is performed in this video?,Taking medicine,Standing up,Eating,Sitting down,B,user4
training_0127,HAU,HAU/user4/3-2-3,single,Which action is performed in this video?,Calling,Washing face,Stirring,Stretching,D,user4
training_0128,HAU,HAU/user4/4-1-1,single,Which action is performed in this video?,Jumping jacks,Eating,Pouring,Typing on a keyboard,D,user4
training_0129,HAU,HAU/user4/4-1-2,single,Which action is performed in this video?,Squats,Lying down,Checking the time,Turning a page,D,user4
training_0130,HAU,HAU/user4/4-1-3,single,Which action is performed in this video?,Sweeping,Turning a page,Pouring,Lunges,B,user4
training_0131,HAU,HAU/user4/4-2-1,single,Which action is performed in this video?,Lunges,Playing games,Washing dishes,Washing face,C,user4
training_0132,HAU,HAU/user4/4-2-2,single,Which action is performed in this video?,Massaging oneself,Running,Folding clothes,Drinking,D,user4
training_0133,HAU,HAU/user4/4-2-3,single,Which action is performed in this video?,Drinking,Standing up,Listening to the music with headphones,Taking medicine,A,user4
training_0134,HAU,HAU/user4/5-1-1,single,Which action is performed in this video?,Checking the time,Standing up,Eating,Combing hair,C,user4
training_0135,HAU,HAU/user4/5-1-2,single,Which action is performed in this video?,Taking medicine,Wiping surface,Eating,Sitting down,C,user4
training_0136,HAU,HAU/user4/5-1-3,single,Which action is performed in this video?,Sweeping,Massaging oneself,Jumping jacks,Stirring,D,user4
training_0137,HAU,HAU/user4/5-2-1,single,Which action is performed in this video?,Stirring,Typing on a keyboard,Wiping hands,Squats,B,user4
training_0138,HAU,HAU/user4/5-2-2,single,Which action is performed in this video?,Running,Using a phone,Watching TV,Walking,D,user4
training_0139,HAU,HAU/user4/5-2-3,single,Which action is performed in this video?,Typing on a keyboard,Drinking,Taking a selfie,Calling,A,user4
training_0140,HAU,HAU/user4/6-1-1,single,Which action is performed in this video?,Lunges,Listening to the music with headphones,Stretching,Undressing,B,user4
training_0141,HAU,HAU/user4/6-1-2,single,Which action is performed in this video?,Washing face,Calling,Taking medicine,Wiping surface,B,user4
training_0142,HAU,HAU/user4/6-1-3,single,Which action is performed in this video?,Typing on a keyboard,Using a phone,Wiping hands,Checking the time,B,user4
training_0143,HAU,HAU/user4/7-1-1,single,Which action is performed in this video?,Folding clothes,Typing on a keyboard,Getting dressed,Peeling fruit,D,user4
training_0144,HAU,HAU/user4/7-1-2,single,Which action is performed in this video?,Wiping surface,Taking medicine,Checking the time,Running,B,user4
training_0145,HAU,HAU/user4/7-1-3,single,Which action is performed in this video?,Playing games,Peeling fruit,Washing face,Running,B,user4
training_0146,HAU,HAU/user4/7-2-1,single,Which action is performed in this video?,Playing games,Wiping surface,Using a phone,Eating,D,user4
training_0147,HAU,HAU/user4/7-2-2,single,Which action is performed in this video?,Sweeping,Squats,Wiping surface,Massaging oneself,D,user4
training_0148,HAU,HAU/user4/7-2-3,single,Which action is performed in this video?,Writing,Playing games,Sitting down,Typing on a keyboard,C,user4
training_0149,HAU,HAU/user5/1-1-1,single,Which action is performed in this video?,Washing face,Calling,Brushing teeth,Listening to the music with headphones,A,user5
training_0150,HAU,HAU/user5/1-1-2,single,Which action is performed in this video?,Playing games,Folding clothes,Combing hair,Washing dishes,C,user5
training_0151,HAU,HAU/user5/1-1-3,single,Which action is performed in this video?,Washing face,Reading,Sitting down,Wiping hands,A,user5
training_0152,HAU,HAU/user5/1-2-1,single,Which action is performed in this video?,Washing dishes,Getting dressed,Eating,Playing games,C,user5
training_0153,HAU,HAU/user5/1-2-2,single,Which action is performed in this video?,Pouring,Washing dishes,Writing,Sitting down,A,user5
training_0154,HAU,HAU/user5/1-2-3,single,Which action is performed in this video?,Listening to the music with headphones,Mopping,Playing games,Drinking,D,user5
training_0155,HAU,HAU/user5/2-1-1,single,Which action is performed in this video?,Getting dressed,Lying down,Stretching,Eating,D,user5
training_0156,HAU,HAU/user5/2-1-2,single,Which action is performed in this video?,Mopping,Taking medicine,Reading,Lying down,C,user5
training_0157,HAU,HAU/user5/2-1-3,single,Which action is performed in this video?,Checking the time,Sweeping,Lying down,Turning a page,D,user5
training_0158,HAU,HAU/user5/3-1-1,single,Which action is performed in this video?,Wiping surface,Wiping hands,Reading,Squats,C,user5
training_0159,HAU,HAU/user5/3-1-2,single,Which action is performed in this video?,Combing hair,Checking the time,Grabbing utensils,Standing up,D,user5
training_0160,HAU,HAU/user5/3-1-3,single,Which action is performed in this video?,Grabbing utensils,Listening to the music with headphones,Sweeping,Squats,C,user5
training_0161,HAU,HAU/user5/3-2-1,single,Which action is performed in this video?,Wiping surface,Stretching,Sweeping,Eating,D,user5
training_0162,HAU,HAU/user5/3-2-2,single,Which action is performed in this video?,Calling,Combing hair,Sitting down,Drinking,D,user5
training_0163,HAU,HAU/user5/3-2-3,single,Which action is performed in this video?,Drinking,Lunges,Sitting down,Sweeping,A,user5
training_0164,HAU,HAU/user5/4-1-1,single,Which action is performed in this video?,Typing on a keyboard,Eating,Getting dressed,Stretching,A,user5
training_0165,HAU,HAU/user5/4-1-2,single,Which action is performed in this video?,Typing on a keyboard,Grabbing utensils,Watching TV,Wiping surface,A,user5
training_0166,HAU,HAU/user5/4-1-3,single,Which action is performed in this video?,Calling,Mopping,Watching TV,Washing dishes,A,user5
