label_a,label_b,a_to_b,b_to_a,symmetric_error_count,balanced_min_direction,group_a,group_b
Carefully,Meticulously,2,2,4,2,CARE,CARE
Contently,Lazily,2,2,4,2,SLOW,SLOW
Rapidly,Steadily,2,2,4,2,FAST,NEUT
Anxiously,Calmly,1,1,2,1,NERV,SLOW
Anxiously,Leisurely,1,1,2,1,NERV,SLOW
Attentively,Leisurely,1,1,2,1,CARE,SLOW
Calmly,Carefully,1,1,2,1,SLOW,CARE
Calmly,Gracefully,1,1,2,1,SLOW,NEUT
Calmly,Leisurely,1,1,2,1,SLOW,SLOW
Calmly,Slowly,1,1,2,1,SLOW,SLOW
Carefully,Peacefully,1,1,2,1,CARE,SLOW
Confidently,Hurriedly,1,1,2,1,NEUT,FAST
Diligently,Rapidly,1,1,2,1,CARE,FAST
Earnestly,Quickly,1,1,2,1,CARE,FAST
Evenly,Slowly,1,1,2,1,NEUT,SLOW
Evenly,Tensely,1,1,2,1,NEUT,NERV
Forcefully,Steadily,1,1,2,1,FAST,NEUT
Frantically,Smoothly,1,1,2,1,FAST,NEUT
Hurriedly,Swiftly,1,1,2,1,FAST,FAST
Hurriedly,quickly,1,1,2,1,FAST,FAST
Intently,Slowly,1,1,2,1,CARE,SLOW
Leisurely,Steadily,1,1,2,1,SLOW,NEUT
Lightly,Steadily,1,1,2,1,SLOW,NEUT
Nervously,Steadily,1,1,2,1,NERV,NEUT
Patiently,Slowly,1,1,2,1,SLOW,SLOW
Carefully,Gently,1,0,1,0,CARE,SLOW
Carefully,Hurriedly,1,0,1,0,CARE,FAST
Carefully,Rapidly,1,0,1,0,CARE,FAST
Carefully,Slowly,0,1,1,0,CARE,SLOW
Evenly,Gently,0,1,1,0,NEUT,SLOW
Gently,Leisurely,0,1,1,0,SLOW,SLOW
Hurriedly,Leisurely,1,0,1,0,FAST,SLOW
Hurriedly,Slowly,1,0,1,0,FAST,SLOW
Hurriedly,Smoothly,0,1,1,0,FAST,NEUT
Intently,Peacefully,0,1,1,0,CARE,SLOW
Joyfully,Quietly,1,0,1,0,NEUT,SLOW
Joyfully,Tensely,0,1,1,0,NEUT,NERV
Orderly,Smoothly,0,1,1,0,CARE,NEUT
Peacefully,Urgently,0,1,1,0,SLOW,FAST
Precisely,Slowly,1,0,1,0,CARE,SLOW
Quietly,Slowly,0,1,1,0,SLOW,SLOW
Quietly,Smoothly,1,0,1,0,SLOW,NEUT
Quietly,Tensely,1,0,1,0,SLOW,NERV
Seriously,Slowly,1,0,1,0,CARE,SLOW
