protocol,rule,fold,parameters,action_candidates,action_correct_inclusion,action_false_inclusion,action_precision,action_net,action_net_per_100,question_candidates,questions_changed,wr,rw,precision,net,before,after,delta,train_selected_n,train_selected_precision,train_selected_net
exploratory_full_oof,fixed_one_add_gap5_dino10_pool10,all,"{""dino"": 0.1, ""gap"": 5.0, ""pool"": 0.1}",3,3,0,1.0,3,100.0,3,3,3,0,1.0,3,688,691,3,,,
exploratory_full_oof_by_regime,fixed_one_add_gap5_dino10_pool10,pair,"{""dino"": 0.1, ""gap"": 5.0, ""pool"": 0.1}",3,3,0,1.0,3,100.0,3,3,3,0,1.0,3,184,187,3,,,
exploratory_full_oof_by_regime,fixed_one_add_gap5_dino10_pool10,triple,"{""dino"": 0.1, ""gap"": 5.0, ""pool"": 0.1}",0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,502,502,0,,,
exploratory_full_oof_by_regime,fixed_one_add_gap5_dino10_pool10,1-clip,"{""dino"": 0.1, ""gap"": 5.0, ""pool"": 0.1}",0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,2,2,0,,,
nested_subject_disjoint,grid_one_add_gap_dino_pool,0,"{""dino"": 0.1, ""gap"": 6.0, ""min_train_n"": 3, ""pool"": 0.03, ""selection"": ""max_net_fallback""}",4,1,3,0.25,-2,-50.0,4,4,1,3,0.25,-2,156,154,-2,4.0,0.75,2.0
nested_subject_disjoint,grid_one_add_gap_dino_pool,1,"{""dino"": 0.05, ""gap"": 5.0, ""min_train_n"": 3, ""pool"": 0.1, ""selection"": ""max_net_fallback""}",1,1,0,1.0,1,100.0,1,1,1,0,1.0,1,141,142,1,3.0,0.6666666666666666,1.0
nested_subject_disjoint,grid_one_add_gap_dino_pool,2,"{""dino"": 0.1, ""gap"": 5.0, ""min_train_n"": 3, ""pool"": 0.1, ""selection"": ""precision>=0.80""}",0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,153,153,0,3.0,1.0,3.0
nested_subject_disjoint,grid_one_add_gap_dino_pool,3,"{""dino"": 0.1, ""gap"": 5.0, ""min_train_n"": 3, ""pool"": 0.1, ""selection"": ""precision>=0.80""}",0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,109,109,0,3.0,1.0,3.0
nested_subject_disjoint,grid_one_add_gap_dino_pool,4,"{""dino"": 0.05, ""gap"": 5.0, ""min_train_n"": 3, ""pool"": 0.1, ""selection"": ""max_net_fallback""}",1,1,0,1.0,1,100.0,1,1,1,0,1.0,1,129,130,1,3.0,0.6666666666666666,1.0
nested_subject_disjoint_pooled,grid_one_add_gap_dino_pool,pooled,"{""min_train_n"": 3}",6,3,3,0.5,0,0.0,6,6,3,3,0.5,0,688,688,0,,,
nested_subject_disjoint,logistic_test_visible_features,0,"{""min_train_n"": 3, ""selection"": ""max_net_fallback"", ""threshold"": 0.81147919}",5,0,5,0.0,-5,-100.0,5,5,0,5,0.0,-5,156,151,-5,8.0,0.625,2.0
nested_subject_disjoint,logistic_test_visible_features,1,"{""min_train_n"": 3, ""selection"": ""precision>=0.80"", ""threshold"": 0.92193209}",3,1,2,0.3333333333333333,-1,-33.333333333333336,3,3,1,2,0.3333333333333333,-1,141,140,-1,3.0,1.0,3.0
nested_subject_disjoint,logistic_test_visible_features,2,"{""min_train_n"": 3, ""selection"": ""max_net_fallback"", ""threshold"": 0.93776648}",1,1,0,1.0,1,100.0,1,1,1,0,1.0,1,153,154,1,4.0,0.5,0.0
nested_subject_disjoint,logistic_test_visible_features,3,"{""min_train_n"": 3, ""selection"": ""max_net_fallback"", ""threshold"": 0.88295044}",0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,109,109,0,7.0,0.42857142857142855,-1.0
nested_subject_disjoint,logistic_test_visible_features,4,"{""min_train_n"": 3, ""selection"": ""max_net_fallback"", ""threshold"": 0.90838173}",0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,129,129,0,3.0,0.6666666666666666,1.0
nested_subject_disjoint_pooled,logistic_test_visible_features,pooled,"{""C"": 0.01, ""min_train_n"": 3}",9,2,7,0.2222222222222222,-5,-55.55555555555556,9,9,2,7,0.2222222222222222,-5,688,683,-5,,,
